[Header]	
System	TOC_TNb Standard	
S/W Version	1.00	
User		
Date/Time	8/8/2022 8:19:36 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Standard	NPOC	cal	Untitled					100.0		mg/L	88, 89, 90, 91, 92, 93	8/4/2022 9:50:13 AM	
Unknown	NPOC	chkstd-5ppm						0.01793		mg/L	80	8/4/2022 10:04:06 AM	
Unknown	NPOC	SERC_Transplant_0-10_Core1						18.04		mg/L	1	8/4/2022 10:18:15 AM	
Unknown	NPOC	SERC_Transplant_0-10_Core2						43.77		mg/L	2	8/4/2022 10:36:54 AM	
Unknown	NPOC	SERC_Transplant_0-10_Core3						59.38		mg/L	3	8/4/2022 10:55:29 AM	
Unknown	NPOC	SERC_Transplant_0-10_Core4						44.52		mg/L	4	8/4/2022 11:10:19 AM	
Unknown	NPOC	SERC_Transplant_0-10_Core5						22.81		mg/L	5	8/4/2022 11:25:05 AM	
Unknown	NPOC	SERC_Transplant_0-10_Core6						33.16		mg/L	6	8/4/2022 11:40:34 AM	
Unknown	NPOC	SERC_Transplant_0-10_Core7						13.38		mg/L	7	8/4/2022 11:54:26 AM	
Unknown	NPOC	SERC_Transplant_0-10_Core8						36.86		mg/L	8	8/4/2022 12:10:07 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core9						31.76		mg/L	9	8/4/2022 12:25:53 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core10						19.36		mg/L	10	8/4/2022 12:40:21 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core11						23.67		mg/L	11	8/4/2022 12:55:08 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core12						37.55		mg/L	12	8/4/2022 1:10:50 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core13						28.52		mg/L	13	8/4/2022 1:25:37 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core14						52.73		mg/L	14	8/4/2022 1:40:47 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core15						22.46		mg/L	15	8/4/2022 1:55:42 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core16						41.61		mg/L	16	8/4/2022 2:11:30 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core17						43.24		mg/L	17	8/4/2022 2:30:28 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core18						88.80		mg/L	18	8/4/2022 2:45:49 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core19						42.34		mg/L	19	8/4/2022 3:01:11 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core20	Untitled					44.24		mg/L	20	8/4/2022 3:16:32 PM	
Unknown	NPOC	blank filter 1	Untitled					0.6432		mg/L	73	8/4/2022 3:32:34 PM	
Unknown	NPOC	blank solution 1						0.3458		mg/L	74	8/4/2022 3:48:48 PM	
Unknown	NPOC	DIW						0.4006		mg/L	81	8/4/2022 4:00:43 PM	
Unknown	NPOC	chkstd-5ppm						4.802		mg/L	82	8/4/2022 4:13:41 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core21						25.33		mg/L	21	8/4/2022 4:28:27 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core22						21.69		mg/L	22	8/4/2022 4:43:06 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core23						62.11		mg/L	23	8/4/2022 4:58:37 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core24						49.21		mg/L	24	8/4/2022 5:13:41 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core25						12.68		mg/L	25	8/4/2022 5:27:23 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core26						9.820		mg/L	26	8/4/2022 5:41:12 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core27						22.72		mg/L	27	8/4/2022 5:55:35 PM	
Unknown	NPOC	SERC_Transplant_0-10_Core28						11.92		mg/L	28	8/4/2022 6:09:32 PM	
